difficulty,bulletCount,rounds,totalShots,totalBet,basePayout,luckyExtraPayout,totalPayout,luckyTimeTriggers,luckyHits,luckyTimeHitRate,rtp
easy,1,10000000,10000000,10000000,9004165.50000000,501272,9505437.50000000,1684903,633295,0.37586437,0.95054375
easy,2,10000000,20000000,20000000,18004076,1001756.50000000,19005832.50000000,2661027,1169087,0.43933677,0.95029162
easy,3,10000000,30000000,30000000,27001375.50000000,1502450,28503825.50000000,3423509,1642753,0.47984480,0.95012752
easy,5,10000000,50000000,50000000,44999911.50000000,2501767.50000000,47501679,4651561,2482286,0.53364580,0.95003358
easy,10,10000000,100000000,100000000,89999988.50000000,5000240,95000228.50000000,7078104,4324479,0.61096573,0.95000228
easy,20,10000000,200000000,200000000,180031269,10008533.50000000,190039802.50000000,11110014,7589789,0.68314846,0.95019901
medium,1,10000000,10000000,10000000,9009544.60054393,501241.60000441,9510786.20054834,1794885,673981,0.37550094,0.95107862
medium,2,10000000,20000000,20000000,18002756.59485136,1001561.19998364,19004317.79483500,2671195,1179204,0.44145186,0.95021589
medium,3,10000000,30000000,30000000,27005119.78913579,1501098.99996723,28506218.78910302,3305399,1599110,0.48378728,0.95020729
medium,5,10000000,50000000,50000000,45009461.41399564,2501896.60000430,47511358.01399994,4323147,2322520,0.53722901,0.95022716
medium,10,10000000,100000000,100000000,89996222.92815021,5005724.60023733,95001947.52838755,6464096,3921310,0.60662930,0.95001948
medium,20,10000000,200000000,200000000,179982348.17603719,10016420.59995592,189998768.77599311,10366928,6861079,0.66182373,0.94999384
hard,1,10000000,10000000,10000000,9011730,497470,9509200,2062020,999528,0.48473245,0.95092000
hard,2,10000000,20000000,20000000,17966120,1005290,18971410,2780461,1428976,0.51393492,0.94857050
hard,3,10000000,30000000,30000000,27008390,1501860,28510250,3186700,1691303,0.53073807,0.95034167
hard,5,10000000,50000000,50000000,45094530,2506640,47601170,3687487,2048236,0.55545579,0.95202340
hard,10,10000000,100000000,100000000,89930950,5016510,94947460,4461692,2674368,0.59940668,0.94947460
hard,20,10000000,200000000,200000000,180087740,10023590,190111330,5667745,3727776,0.65771766,0.95055665
